Latitude,Longitude,As_ppb,As
28.3625,67.5625,0,0
28.37916667,67.42083333,0,0
28.39583333,70.2875,10,0
28.42083333,70.92916667,159.3470345,1
28.42916667,69.57916667,1.449489743,0
28.42916667,69.69583333,250,1
28.4625,65.65416667,0,0
28.4875,66.2625,0,0
28.52083333,67.90416667,0,0
28.52083333,68.5375,0,0
28.52916667,67.72916667,100,1
28.5625,66.90416667,6.829735282,0
28.57916667,65.4125,0,0
28.6375,69.1875,0,0
28.64583333,70.65416667,20,1
28.6875,69.94583333,15,1
28.70416667,70.52916667,0,0
28.77916667,68.37916667,0,0
28.82083333,62.72916667,10,0
28.87083333,70.57083333,0,0
28.87916667,64.4125,5,0
28.8875,67.44583333,0,0
28.92916667,70.94583333,10,0
28.95416667,70.5125,0,0
28.97083333,61.55416667,10,0
29.02916667,66.5875,12.19906754,1
29.02916667,69.14583333,0.817120593,0
29.0375,67.82083333,0,0
29.10416667,70.32083333,15,1
29.12916667,71.74583333,0,0
29.12916667,71.75416667,112.2475165,1
29.1375,71.27916667,152.58,1
29.14583333,71.2625,0,0
29.14583333,71.55416667,132.3,1
29.19583333,72.85416667,0,0
29.22083333,70.52083333,150,1
29.25416667,68.89583333,0,0
29.25416667,70.24583333,100,1
29.25416667,70.29583333,150,1
29.27083333,70.30416667,150,1
29.32916667,70.35416667,250,1
29.3875,70.92083333,243.7,1
29.39583333,71.67916667,130.1,1
29.39583333,71.6875,20,1
29.4125,67.1875,0,0
29.45416667,67.3125,0,0
29.47083333,67.65416667,0,0
29.4875,71.85416667,229.6,1
29.50416667,71.2125,15,1
29.5125,70.85416667,0,0
29.5375,71.62916667,5,0
29.54583333,67.87083333,0,0
29.55416667,66.02083333,0,0
29.6125,73.1375,0,0
29.62083333,71.9125,10,0
29.6375,67.8375,0,0
29.6375,70.59583333,25,1
29.65416667,68.6875,0,0
29.69583333,72.55416667,10,0
29.79583333,71.7375,0,0
29.79583333,72.17083333,70,1
29.79583333,72.85416667,10,0
29.79583333,72.8625,250,1
29.8625,67.04583333,0,0
29.8625,67.32916667,0,0
29.87916667,71.2875,15,1
29.89583333,69.24583333,0,0
29.89583333,69.52916667,0,0
29.9125,66.49583333,0,0
29.94583333,71.17083333,10,0
29.99583333,73.25416667,0,0
30.0125,72.42916667,100,1
30.02083333,71.0875,9,0
30.02916667,71.09583333,15,1
30.02916667,71.10416667,99,1
30.02916667,71.17916667,213.6,1
30.0375,71.04583333,2,0
30.0375,71.09583333,50,1
30.0375,71.10416667,91,1
30.0375,71.1125,4,0
30.0375,71.12916667,4,0
30.0375,71.82083333,0,0
30.04583333,69.92083333,0,0
30.04583333,70.42916667,29,1
30.04583333,71.10416667,6,0
30.04583333,71.1125,1,0
30.04583333,71.1375,71,1
30.04583333,72.34583333,15,1
30.04583333,72.35416667,122.4949392,1
30.05416667,70.6375,0,0
30.05416667,71.10416667,1,0
30.05416667,72.37916667,150,1
30.0625,71.12083333,85,1
30.0625,71.1875,100,1
30.07083333,71.1875,162.8154843,1
30.0875,71.12916667,22,1
30.09583333,67.92916667,0,0
30.09583333,71.1375,80,1
30.10416667,71.2625,905,1
